id,sku,name,key,value,confidence,evidence
phase3c-486728-skill_level-140,486728,FLEX DWL 2500 LED Şarjlı Çalışma Detay Lambası 6500K 3000 Lümen- Kablosuz Bluetooth Kontrol Işığı,skill_level,pro,high,profesyonel/usta
phase3c-486728-application_method-142,486728,FLEX DWL 2500 LED Şarjlı Çalışma Detay Lambası 6500K 3000 Lümen- Kablosuz Bluetooth Kontrol Işığı,application_method,machine,high,machine signal
phase3c-487988-skill_level-143,487988,FLEX XCE/XFE Orbital Polisaj Makineleri Uyumlu Velcro Taban 150mm,skill_level,pro,high,profesyonel/usta
phase3c-487988-application_method-145,487988,FLEX XCE/XFE Orbital Polisaj Makineleri Uyumlu Velcro Taban 150mm,application_method,machine,high,machine signal
phase3c-492361-skill_level-146,492361,FLEX BP-M D75 - PXE 80 İçin Cırtlı Tabanlık 75 mm / 3 inc,skill_level,pro,high,profesyonel/usta
phase3c-492361-application_method-148,492361,FLEX BP-M D75 - PXE 80 İçin Cırtlı Tabanlık 75 mm / 3 inc,application_method,machine,high,machine signal
phase3c-502561-volume_ml-149,502561,FLEX FB L 700/400 Ürün Taşıma Saklama Çantası 57cm - Omuz Askılı Dayanıklı Çok Gözlü,volume_ml,500,high,500ml
phase3c-502561-skill_level-150,502561,FLEX FB L 700/400 Ürün Taşıma Saklama Çantası 57cm - Omuz Askılı Dayanıklı Çok Gözlü,skill_level,pro,high,profesyonel/usta
phase3c-502561-application_method-151,502561,FLEX FB L 700/400 Ürün Taşıma Saklama Çantası 57cm - Omuz Askılı Dayanıklı Çok Gözlü,application_method,machine,high,machine signal
phase3c-513547-01-application_method-154,513547-01,"FLEX Şarjlı Vidalama ve Detaylı Temizlik Fırça Seti - DD 2G Matkap, 3lü Fırça (10.8V 2.5AH Akülü)",application_method,machine,high,machine signal
phase3c-513547-skill_level-155,513547,"FLEX Pasta Cila Vidalama ve Temizlik Fırça Seti - PXE80 Mini Polisaj, DD 2G Şarjlı Matkap,3lü Fırça",skill_level,pro,high,profesyonel/usta
phase3c-513547-application_method-157,513547,"FLEX Pasta Cila Vidalama ve Temizlik Fırça Seti - PXE80 Mini Polisaj, DD 2G Şarjlı Matkap,3lü Fırça",application_method,machine,high,machine signal
phase3c-530375-skill_level-158,530375,FLEX TL 4000 18.0/230 Akülü/Elektrikli LED Kule Tipi Aydınlatma Lambası - Katlanır Taşınabilir,skill_level,pro,high,profesyonel/usta
phase3c-530375-application_method-160,530375,FLEX TL 4000 18.0/230 Akülü/Elektrikli LED Kule Tipi Aydınlatma Lambası - Katlanır Taşınabilir,application_method,machine,high,machine signal
phase3c-530882-skill_level-161,530882,"FLEX İkili Makine, Akü, Pasta Duvar Askı Aparatı - Metal",skill_level,pro,high,profesyonel/usta
phase3c-530882-application_method-163,530882,"FLEX İkili Makine, Akü, Pasta Duvar Askı Aparatı - Metal",application_method,machine,high,machine signal
phase3c-530883-skill_level-164,530883,FLEX İkili Makine Duvar Askı Aparatı - Metal,skill_level,pro,high,profesyonel/usta
phase3c-530883-application_method-166,530883,FLEX İkili Makine Duvar Askı Aparatı - Metal,application_method,machine,high,machine signal
phase3c-532024-skill_level-168,532024,FLEX VC 6 L MC Elektrikli Omuz Askılı El Süpürgesi 6 Litre 1200W - 4 Başlıklı Taşınabilir Tekerlekli,skill_level,pro,high,profesyonel/usta
phase3c-532024-application_method-170,532024,FLEX VC 6 L MC Elektrikli Omuz Askılı El Süpürgesi 6 Litre 1200W - 4 Başlıklı Taşınabilir Tekerlekli,application_method,machine,high,machine signal
