source,id,sku,key,after,original_group,original_sub_type,final_group,final_sub_type,reason
phase3c,phase3c-SGGD402-outdoor_use-409,SGGD402,outdoor_use,True,storage_accessories,water_spray_gun,accessory,water_spray_gun,outdoor_use: not applicable for accessory/water_spray_gun
phase3c,phase3c-SGGD415-skill_level-410,SGGD415,skill_level,pro,storage_accessories,wall_stand,storage_accessories,wall_stand,skill_level: not applicable for storage_accessories/wall_stand
phase3c,phase3c-SGGD415-application_method-411,SGGD415,application_method,both,storage_accessories,wall_stand,storage_accessories,wall_stand,application_method: not applicable for storage_accessories/wall_stand
phase3c,phase3c-SGGD416-skill_level-412,SGGD416,skill_level,pro,storage_accessories,wall_stand,storage_accessories,wall_stand,skill_level: not applicable for storage_accessories/wall_stand
phase3c,phase3c-SGGD416-application_method-413,SGGD416,application_method,machine,storage_accessories,wall_stand,storage_accessories,wall_stand,application_method: not applicable for storage_accessories/wall_stand
phase3c,phase3c-SGGF179-application_method-414,SGGF179,application_method,machine,polisher_machine,corded_rotary_polisher,polisher_machine,rotary,application_method: not applicable for polisher_machine/rotary
phase3c,phase3c-SGGF181-57-skill_level-415,SGGF181-57,skill_level,pro,spare_part,backing_plate,spare_part,backing_plate,skill_level: not applicable for spare_part/backing_plate
phase3c,phase3c-SGGF181-57-application_method-417,SGGF181-57,application_method,machine,spare_part,backing_plate,spare_part,backing_plate,application_method: not applicable for spare_part/backing_plate
phase3c,phase3c-SGGF181-application_method-418,SGGF181,application_method,machine,polisher_machine,da_polisher,polisher_machine,orbital,application_method: not applicable for polisher_machine/orbital
phase3c,phase3c-SGGF273-application_method-421,SGGF273,application_method,machine,polisher_machine,mini_cordless_polisher,polisher_machine,dual_action_polisher,application_method: not applicable for polisher_machine/dual_action_polisher
phase3c,phase3c-SGGS003-skill_level-422,SGGS003,skill_level,pro,polisher_machine,other,accessory,air_blow_gun,skill_level: not applicable for accessory/air_blow_gun
phase3c,phase3c-SGGS003-application_method-424,SGGS003,application_method,machine,polisher_machine,other,accessory,air_blow_gun,application_method: not applicable for accessory/air_blow_gun
phase3c,phase3c-SGPM001-application_method-425,SGPM001,application_method,machine,ppf_tools,squeegee,ppf_tools,squeegee,application_method: not applicable for ppf_tools/squeegee
phase3c,phase3c-SGPM002-application_method-426,SGPM002,application_method,machine,ppf_tools,squeegee,ppf_tools,squeegee,application_method: not applicable for ppf_tools/squeegee
phase3c,phase3c-SGPM003-application_method-427,SGPM003,application_method,machine,ppf_tools,squeegee,ppf_tools,squeegee,application_method: not applicable for ppf_tools/squeegee
phase3c,phase3c-SGPM004-application_method-428,SGPM004,application_method,machine,ppf_tools,squeegee,ppf_tools,squeegee,application_method: not applicable for ppf_tools/squeegee
phase3c,phase3c-SGPM005-application_method-429,SGPM005,application_method,machine,ppf_tools,squeegee,ppf_tools,squeegee,application_method: not applicable for ppf_tools/squeegee
phase3c,phase3c-SGPM006-application_method-430,SGPM006,application_method,machine,ppf_tools,squeegee,ppf_tools,squeegee,application_method: not applicable for ppf_tools/squeegee
phase3c,phase3c-SGPM007-skill_level-431,SGPM007,skill_level,pro,ppf_tools,squeegee,ppf_tools,squeegee,skill_level: not applicable for ppf_tools/squeegee
phase3c,phase3c-SGPM007-application_method-432,SGPM007,application_method,machine,ppf_tools,squeegee,ppf_tools,squeegee,application_method: not applicable for ppf_tools/squeegee
phase3c,phase3c-SGPM008-application_method-433,SGPM008,application_method,machine,ppf_tools,consumable,ppf_tools,consumable,application_method: not applicable for ppf_tools/consumable
phase3c,phase3c-SGPM009-application_method-435,SGPM009,application_method,machine,ppf_tools,positioning_tool,ppf_tools,positioning_tool,application_method: not applicable for ppf_tools/positioning_tool
phase3c,phase3c-SGPM013-application_method-436,SGPM013,application_method,machine,ppf_tools,application_kit,ppf_tools,application_kit,application_method: not applicable for ppf_tools/application_kit
phase3c,phase3c-SGPM014-application_method-437,SGPM014,application_method,machine,ppf_tools,application_kit,ppf_tools,application_kit,application_method: not applicable for ppf_tools/application_kit
phase3c,phase3c-SGYC010-application_method-438,SGYC010,application_method,machine,spare_part,repair_part,spare_part,repair_part,application_method: not applicable for spare_part/repair_part
phase3c,phase3c-SGYC011-application_method-439,SGYC011,application_method,machine,spare_part,repair_part,spare_part,repair_part,application_method: not applicable for spare_part/repair_part
phase3c,phase3c-SVPRO160F-application_method-440,SVPRO160F,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
phase3c,phase3c-VPRO160F-application_method-441,VPRO160F,application_method,machine,polishing_pad,foam_pad,polishing_pad,foam_pad,application_method: not applicable for polishing_pad/foam_pad
